country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",05-08-2025 8.00,28.60909,77.0325413,SO2,2,32,13
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",05-08-2025 8.00,28.60909,77.0325413,CO,16,92,26
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",05-08-2025 8.00,28.623763,77.287209,NO2,10,31,21
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-08-2025 8.00,28.674045,77.131023,PM2.5,3,177,54
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-08-2025 8.00,28.674045,77.131023,PM10,63,120,94
India,Delhi,Delhi,"Pusa, Delhi - DPCC",05-08-2025 8.00,28.639652,77.146275,PM10,74,197,129
India,Delhi,Delhi,"Narela, Delhi - DPCC",05-08-2025 8.00,28.822836,77.101981,PM2.5,33,77,48
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",05-08-2025 8.00,28.56789,77.250515,NH3,4,11,7
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",05-08-2025 8.00,28.56789,77.250515,OZONE,16,57,21
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",05-08-2025 8.00,28.530785,77.271255,SO2,6,10,7
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",05-08-2025 8.00,28.563262,77.186937,SO2,16,106,62
India,Delhi,Delhi,"Rohini, Delhi - DPCC",05-08-2025 8.00,28.732528,77.11992,NO2,11,62,28
India,Delhi,Delhi,"Rohini, Delhi - DPCC",05-08-2025 8.00,28.732528,77.11992,NH3,7,9,8
India,Delhi,Delhi,"ITO, Delhi - CPCB",05-08-2025 8.00,28.628624,77.24106,OZONE,2,6,4
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",05-08-2025 8.00,28.73282,77.170633,NH3,1,4,2
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",05-08-2025 8.00,28.73282,77.170633,SO2,5,17,7
India,Delhi,Delhi,"Rohini, Delhi - DPCC",05-08-2025 8.00,28.732528,77.11992,OZONE,21,40,24
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",05-08-2025 8.00,28.6514781,77.1473105,SO2,3,19,9
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",05-08-2025 8.00,28.531346,77.190156,NH3,5,7,6
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",05-08-2025 8.00,28.531346,77.190156,OZONE,15,65,27
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-08-2025 8.00,28.672342,77.31526,PM10,61,122,91
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-08-2025 8.00,28.672342,77.31526,NO2,32,44,38
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-08-2025 8.00,28.672342,77.31526,NH3,3,4,4
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-08-2025 8.00,28.672342,77.31526,OZONE,8,23,10
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",05-08-2025 8.00,28.570173,76.933762,PM10,56,104,84
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",05-08-2025 8.00,28.570173,76.933762,SO2,8,11,9
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",05-08-2025 8.00,28.570173,76.933762,CO,15,28,19
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",05-08-2025 8.00,28.570173,76.933762,OZONE,16,39,21
India,Delhi,Delhi,"Narela, Delhi - DPCC",05-08-2025 8.00,28.822836,77.101981,NO2,2,32,14
India,Delhi,Delhi,"Narela, Delhi - DPCC",05-08-2025 8.00,28.822836,77.101981,NH3,3,12,7
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",05-08-2025 8.00,28.56789,77.250515,SO2,4,10,7
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",05-08-2025 8.00,28.56789,77.250515,CO,8,27,14
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",05-08-2025 8.00,28.6573814,77.1585447,NO2,19,96,41
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",05-08-2025 8.00,28.530785,77.271255,NO2,29,50,38
India,Delhi,Delhi,"Alipur, Delhi - DPCC",05-08-2025 8.00,28.815329,77.15301,NH3,12,16,14
India,Delhi,Delhi,"Alipur, Delhi - DPCC",05-08-2025 8.00,28.815329,77.15301,SO2,6,22,10
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",05-08-2025 8.00,28.647622,77.315809,NH3,3,14,8
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",05-08-2025 8.00,28.695381,77.181665,PM10,73,126,104
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",05-08-2025 8.00,28.4706914,77.1099364,PM2.5,1,139,32
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",05-08-2025 8.00,28.588333,77.221667,NO2,36,90,69
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",05-08-2025 8.00,28.611281,77.237738,PM10,40,109,76
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",05-08-2025 8.00,28.636429,77.201067,SO2,19,36,27
